relative_path,type,encoding,description,session_id,subject_id,gesture_id,trial_id,ok,sig_len,fs,n_sig,units,error,scan_batch
Session1/session1_participant1/session1_participant1_gesture3_trial5,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,3,5,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture3_trial6,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,3,6,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture3_trial7,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,3,7,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture4_trial1,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,4,1,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture4_trial2,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,4,2,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture4_trial3,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,4,3,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture4_trial4,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,4,4,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture4_trial5,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,4,5,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture4_trial6,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,4,6,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture4_trial7,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,4,7,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture5_trial1,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,5,1,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture5_trial2,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,5,2,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture5_trial3,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,5,3,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture5_trial4,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,5,4,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture5_trial5,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,5,5,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture5_trial6,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,5,6,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture5_trial7,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,5,7,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture6_trial1,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,6,1,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture6_trial2,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,6,2,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture6_trial3,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,6,3,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture6_trial4,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,6,4,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture6_trial5,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,6,5,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture6_trial6,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,6,6,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture6_trial7,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,6,7,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture7_trial1,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,7,1,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture7_trial2,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,7,2,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture7_trial3,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,7,3,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture7_trial4,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,7,4,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture7_trial5,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,7,5,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture7_trial6,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,7,6,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture7_trial7,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,7,7,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture8_trial1,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,8,1,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture8_trial2,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,8,2,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture8_trial3,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,8,3,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture8_trial4,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,8,4,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture8_trial5,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,8,5,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture8_trial6,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,8,6,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture8_trial7,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,8,7,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture9_trial1,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,9,1,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture9_trial2,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,9,2,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture9_trial3,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,9,3,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture9_trial4,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,9,4,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture9_trial5,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,9,5,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture9_trial6,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,9,6,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture9_trial7,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,9,7,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture10_trial1,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,10,1,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture10_trial2,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,10,2,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture10_trial3,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,10,3,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture10_trial4,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,10,4,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture10_trial5,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,10,5,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture10_trial6,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,10,6,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture10_trial7,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,10,7,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture11_trial1,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,11,1,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture11_trial2,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,11,2,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture11_trial3,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,11,3,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture11_trial4,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,11,4,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture11_trial5,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,11,5,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture11_trial6,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,11,6,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture11_trial7,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,11,7,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture12_trial1,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,12,1,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture12_trial2,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,12,2,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture12_trial3,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,12,3,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture12_trial4,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,12,4,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture12_trial5,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,12,5,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture12_trial6,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,12,6,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture12_trial7,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,12,7,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture13_trial1,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,13,1,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture13_trial2,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,13,2,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture13_trial3,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,13,3,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture13_trial4,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,13,4,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture13_trial5,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,13,5,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture13_trial6,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,13,6,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture13_trial7,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,13,7,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture14_trial1,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,14,1,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture14_trial2,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,14,2,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture14_trial3,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,14,3,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture14_trial4,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,14,4,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture14_trial5,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,14,5,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture14_trial6,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,14,6,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture14_trial7,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,14,7,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture15_trial1,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,15,1,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture15_trial2,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,15,2,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture15_trial3,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,15,3,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture15_trial4,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,15,4,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture15_trial5,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,15,5,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture15_trial6,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,15,6,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture15_trial7,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,15,7,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture16_trial1,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,16,1,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture16_trial2,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,16,2,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture16_trial3,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,16,3,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture16_trial4,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,16,4,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture16_trial5,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,16,5,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture16_trial6,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,16,6,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture16_trial7,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,16,7,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture17_trial1,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,17,1,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture17_trial2,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,17,2,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture17_trial3,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,17,3,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture17_trial4,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,17,4,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture17_trial5,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,17,5,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture17_trial6,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,17,6,True,10240,2048,32,mV,,sample_full_grid
Session1/session1_participant1/session1_participant1_gesture17_trial7,wfdb_header_only_scan,binary(wfdb),"full grid scan (3 participant mẫu: 1, 22, 43 x mọi session/gesture/trial)",1,1,17,7,True,10240,2048,32,mV,,sample_full_grid
