trial_key,subject_id,session_id,y_true,p0_pred,day32_y_pred,match_day32
mendeley-S021-wrist_flexion-R05,21,0,wrist_flexion,wrist_extension,wrist_extension,True
mendeley-S023-grip-R01,23,0,hand_close,rest,rest,True
mendeley-S023-grip-R02,23,0,hand_close,rest,rest,True
mendeley-S023-grip-R03,23,0,hand_close,rest,rest,True
mendeley-S023-grip-R04,23,0,hand_close,rest,rest,True
mendeley-S023-grip-R05,23,0,hand_close,rest,rest,True
mendeley-S023-rest-R01,23,0,rest,rest,rest,True
mendeley-S023-rest-R02,23,0,rest,rest,rest,True
mendeley-S023-rest-R03,23,0,rest,rest,rest,True
mendeley-S023-rest-R04,23,0,rest,rest,rest,True
mendeley-S023-rest-R05,23,0,rest,rest,rest,True
mendeley-S023-wrist_extension-R01,23,0,wrist_extension,wrist_extension,wrist_extension,True
mendeley-S023-wrist_extension-R02,23,0,wrist_extension,wrist_extension,wrist_extension,True
mendeley-S023-wrist_extension-R03,23,0,wrist_extension,wrist_extension,wrist_extension,True
mendeley-S023-wrist_extension-R04,23,0,wrist_extension,wrist_extension,wrist_extension,True
mendeley-S023-wrist_extension-R05,23,0,wrist_extension,wrist_extension,wrist_extension,True
mendeley-S023-wrist_flexion-R01,23,0,wrist_flexion,rest,rest,True
mendeley-S023-wrist_flexion-R02,23,0,wrist_flexion,rest,rest,True
mendeley-S023-wrist_flexion-R03,23,0,wrist_flexion,rest,rest,True
mendeley-S023-wrist_flexion-R04,23,0,wrist_flexion,rest,rest,True
mendeley-S023-wrist_flexion-R05,23,0,wrist_flexion,rest,rest,True
mendeley-S025-grip-R01,25,0,hand_close,hand_close,hand_close,True
mendeley-S025-grip-R02,25,0,hand_close,hand_close,hand_close,True
mendeley-S025-grip-R03,25,0,hand_close,hand_close,hand_close,True
mendeley-S025-grip-R04,25,0,hand_close,hand_close,hand_close,True
mendeley-S025-grip-R05,25,0,hand_close,hand_close,hand_close,True
mendeley-S025-rest-R01,25,0,rest,hand_close,hand_close,True
mendeley-S025-rest-R02,25,0,rest,rest,rest,True
mendeley-S025-rest-R03,25,0,rest,rest,rest,True
mendeley-S025-rest-R04,25,0,rest,rest,rest,True
mendeley-S025-rest-R05,25,0,rest,rest,rest,True
mendeley-S025-wrist_extension-R01,25,0,wrist_extension,wrist_extension,wrist_extension,True
mendeley-S025-wrist_extension-R02,25,0,wrist_extension,wrist_extension,wrist_extension,True
mendeley-S025-wrist_extension-R03,25,0,wrist_extension,wrist_extension,wrist_extension,True
mendeley-S025-wrist_extension-R04,25,0,wrist_extension,wrist_extension,wrist_extension,True
mendeley-S025-wrist_extension-R05,25,0,wrist_extension,wrist_extension,wrist_extension,True
mendeley-S025-wrist_flexion-R01,25,0,wrist_flexion,hand_close,hand_close,True
mendeley-S025-wrist_flexion-R02,25,0,wrist_flexion,hand_close,hand_close,True
mendeley-S025-wrist_flexion-R03,25,0,wrist_flexion,hand_close,hand_close,True
mendeley-S025-wrist_flexion-R04,25,0,wrist_flexion,hand_close,hand_close,True
mendeley-S025-wrist_flexion-R05,25,0,wrist_flexion,hand_close,hand_close,True
mendeley-S035-grip-R01,35,0,hand_close,rest,rest,True
mendeley-S035-grip-R02,35,0,hand_close,rest,rest,True
mendeley-S035-grip-R03,35,0,hand_close,rest,rest,True
mendeley-S035-grip-R04,35,0,hand_close,rest,rest,True
mendeley-S035-grip-R05,35,0,hand_close,rest,rest,True
mendeley-S035-rest-R01,35,0,rest,rest,rest,True
mendeley-S035-rest-R02,35,0,rest,rest,rest,True
mendeley-S035-rest-R03,35,0,rest,rest,rest,True
mendeley-S035-rest-R04,35,0,rest,rest,rest,True
mendeley-S035-rest-R05,35,0,rest,rest,rest,True
mendeley-S035-wrist_extension-R01,35,0,wrist_extension,wrist_extension,wrist_extension,True
mendeley-S035-wrist_extension-R02,35,0,wrist_extension,wrist_extension,wrist_extension,True
mendeley-S035-wrist_extension-R03,35,0,wrist_extension,wrist_extension,wrist_extension,True
mendeley-S035-wrist_extension-R04,35,0,wrist_extension,wrist_extension,wrist_extension,True
mendeley-S035-wrist_extension-R05,35,0,wrist_extension,wrist_extension,wrist_extension,True
mendeley-S035-wrist_flexion-R01,35,0,wrist_flexion,wrist_flexion,wrist_flexion,True
mendeley-S035-wrist_flexion-R02,35,0,wrist_flexion,rest,rest,True
mendeley-S035-wrist_flexion-R03,35,0,wrist_flexion,rest,rest,True
mendeley-S035-wrist_flexion-R04,35,0,wrist_flexion,rest,rest,True
mendeley-S035-wrist_flexion-R05,35,0,wrist_flexion,rest,rest,True
mendeley-S040-grip-R01,40,0,hand_close,hand_close,hand_close,True
mendeley-S040-grip-R02,40,0,hand_close,hand_close,hand_close,True
mendeley-S040-grip-R03,40,0,hand_close,hand_close,hand_close,True
mendeley-S040-grip-R04,40,0,hand_close,hand_close,hand_close,True
mendeley-S040-grip-R05,40,0,hand_close,hand_close,hand_close,True
mendeley-S040-rest-R01,40,0,rest,rest,rest,True
mendeley-S040-rest-R02,40,0,rest,rest,rest,True
mendeley-S040-rest-R03,40,0,rest,rest,rest,True
mendeley-S040-rest-R04,40,0,rest,rest,rest,True
mendeley-S040-rest-R05,40,0,rest,rest,rest,True
mendeley-S040-wrist_extension-R01,40,0,wrist_extension,wrist_extension,wrist_extension,True
mendeley-S040-wrist_extension-R02,40,0,wrist_extension,wrist_extension,wrist_extension,True
mendeley-S040-wrist_extension-R03,40,0,wrist_extension,wrist_extension,wrist_extension,True
mendeley-S040-wrist_extension-R04,40,0,wrist_extension,wrist_extension,wrist_extension,True
mendeley-S040-wrist_extension-R05,40,0,wrist_extension,wrist_extension,wrist_extension,True
mendeley-S040-wrist_flexion-R01,40,0,wrist_flexion,wrist_flexion,wrist_flexion,True
mendeley-S040-wrist_flexion-R02,40,0,wrist_flexion,wrist_flexion,wrist_flexion,True
mendeley-S040-wrist_flexion-R03,40,0,wrist_flexion,wrist_flexion,wrist_flexion,True
mendeley-S040-wrist_flexion-R04,40,0,wrist_flexion,wrist_flexion,wrist_flexion,True
mendeley-S040-wrist_flexion-R05,40,0,wrist_flexion,wrist_flexion,wrist_flexion,True
mendeley-S006-grip-R01,6,0,hand_close,hand_close,hand_close,True
mendeley-S006-grip-R02,6,0,hand_close,hand_close,hand_close,True
mendeley-S006-grip-R03,6,0,hand_close,hand_close,hand_close,True
mendeley-S006-grip-R04,6,0,hand_close,hand_close,hand_close,True
mendeley-S006-grip-R05,6,0,hand_close,wrist_flexion,wrist_flexion,True
mendeley-S006-rest-R01,6,0,rest,rest,rest,True
mendeley-S006-rest-R02,6,0,rest,rest,rest,True
mendeley-S006-rest-R03,6,0,rest,rest,rest,True
mendeley-S006-rest-R04,6,0,rest,rest,rest,True
mendeley-S006-rest-R05,6,0,rest,rest,rest,True
mendeley-S006-wrist_extension-R01,6,0,wrist_extension,wrist_extension,wrist_extension,True
mendeley-S006-wrist_extension-R02,6,0,wrist_extension,wrist_extension,wrist_extension,True
mendeley-S006-wrist_extension-R03,6,0,wrist_extension,wrist_extension,wrist_extension,True
mendeley-S006-wrist_extension-R04,6,0,wrist_extension,wrist_extension,wrist_extension,True
mendeley-S006-wrist_extension-R05,6,0,wrist_extension,wrist_extension,wrist_extension,True
mendeley-S006-wrist_flexion-R01,6,0,wrist_flexion,wrist_flexion,wrist_flexion,True
mendeley-S006-wrist_flexion-R02,6,0,wrist_flexion,wrist_flexion,wrist_flexion,True
mendeley-S006-wrist_flexion-R03,6,0,wrist_flexion,wrist_flexion,wrist_flexion,True
mendeley-S006-wrist_flexion-R04,6,0,wrist_flexion,wrist_flexion,wrist_flexion,True
mendeley-S006-wrist_flexion-R05,6,0,wrist_flexion,wrist_flexion,wrist_flexion,True
